courseCode,sectionId,sectionNumber,semesterId,sessionId,beginDate,endDate,creditHours,capacity,currentEnrollment,status,permCount,meetingDays,meetingDaysRaw,startTime,endTime,room,instructors
"AFRI010ASAF","AFRI010ASAF-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","20","16","Open","0","Tue;Thu","--T-R--","13:15","14:30","SC HM 101","Soliman, Maryan"
"AFRI010B AF","AFRI010B AF-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","10","9","Open","14","Mon;Wed","-M-W---","11:00","12:15","PO LINC 1109","Finley, Jessyka"
"AFRI020  PZ","AFRI020  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","13","R","1","Mon;Wed","-M-W---","13:15","14:30","PZ AV 224","Hurley, Shelva Paulse"
"AFRI111  AF","AFRI111  AF-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","4","Open","0","Mon;Wed","-M-W---","11:00","12:15","PZ BE 207","Cox, Latreace"
"AFRI120  PZ","AFRI120  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","13","Closed","24","Wed","---W---","14:45","17:30","PO LINC 1109","Harris, Laura"
"AFRI134  PO","AFRI134  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","18","Closed","8","Wed","---W---","13:15","16:00","PO LINC 1135","Finley, Jessyka"
"AFRI149  AF","AFRI149  AF-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","11","R","0","Tue;Thu","--T-R--","14:45","16:00","SC HM 101","Soliman, Maryan"
"AFRI168  AF","AFRI168  AF-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","13","10","R","3","Mon","-M-----","14:45","17:30","SC HM 203","Alcenat, Westenley"
"AFRI191  SC","AFRI191  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","7","Open","1","","-------","00:00","00:00","SC ARR ","Soliman, Maryan"
"AFRI191  SC","AFRI191  SC-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","1.0","5","1","Open","0","","-------","00:00","00:00","SC ARR ARR","Soliman, Maryan"
"AFRI195F AF","AFRI195F AF-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","6","Open","0","Thu","----R--","14:45","17:30","PZ SKD P105","Arguello, Martha M."
"AMST103S JT","AMST103S JT-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","20","18","R","14","Tue;Thu","--T-R--","11:00","12:15","SC HM AUD","Orellana, Julio"
"AMST117  PO","AMST117  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","10","Closed","3","Tue;Thu","--T-R--","14:45","16:00","PO ESTE 1163","Boyer, William Douglas_Bahng"
"AMST179B HM","AMST179B HM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","3.0","18","16","R","34","Tue;Thu","--T-R--","09:35","10:50","HM SHAN 3425","Seitz, David"
